Sample_ID	Mouse_ID	Description	Treatment	Group	Age_at_injection_weeks	Age_at_blood_collection_weeks	AMH	FSH	INHBA	
430	Foxl2_NULL_288	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	35	293.707	18.85	59.028	
499	Foxl2_NULL_1984	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	36	149.9	1.39	503.9	
KM16	Foxl2_NULL_1409	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	36	164.15	8.01	572.7	
498	Foxl2_NULL_1981	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	37	100.7	35.58	202.4	
KM15	Foxl2_NULL_2129	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	37	80.33	7.25	879.2	
506	Foxl2_NULL_1991	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	40	203.8	2	443.6	
507	Foxl2_NULL_1993	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	40	149.4	7.64	363.5	
490	Foxl2_NULL_1563	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	42	67.895	4.26	318.354	
491	Foxl2_NULL_1557	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	42	32.183	6.69	503.995	
529	Foxl2_NULL_1565	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	42	134.1	4.62	550.9	
KM2	Foxl2_NULL_1326	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	42	88.01	10.49	337.5	
KM13	Foxl2_NULL_1310	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	43	123.04	19.95	381.9	
KM14	Foxl2_NULL_1313	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	43	64.96	15.45	377.5	
515	Foxl2_NULL_1409	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	45	140.1	2.62	642.5	
482	Foxl2_NULL_1361	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	51	6.053	49.4	300.564	
484	Foxl2_NULL_1326	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	51	45.558	9.94	425.441	
487	Foxl2_NULL_1310	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	52	21.976	8.04	847.163	
488	Foxl2_NULL_1313	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	52	4.372	12.45	636.734	
